accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall,任务,执行机器,方法,本地metrics路径,模型,系列,结果状态,计划标记,说明
0.187249,,,,,,0.152245,,0.048093,0.041392,0.111806,521,0.098059,0.184261,0.184261,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__prompt/predictions_multi_label.jsonl,0.066806,,0.187249,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__prompt/predictions.jsonl,0.128267,remote_codegemma_2b_e1_gpu4_retry__vul_type__prompt,,,,1992,,,,,,,,,vul_type,compute_node_c,prompt,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__prompt/metrics.json,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__prompt/metrics.json
0.676707,,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__vul_type__qlora/checkpoint-3124,,,,0.550204,,0.4255,0.762752,0.341303,521,0.397344,0.746641,0.746641,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__qlora/predictions_test_multi_label.jsonl,0.270703,,0.676707,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__qlora/predictions_test.jsonl,0.463549,remote_codegemma_2b_e1_gpu4_retry__vul_type__qlora,,,,1992,,,,24992,3829,,,,vul_type,compute_node_c,qlora,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__qlora/metrics.json,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__qlora/metrics.json
0.5226407109606432,,,,,,0.17302052785923755,,,,,,,,,,,,0.7662337662337663,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__has_vul__direct/predictions.jsonl,0.09752066115702479,remote_codegemma_7b_e1_gpu5_clean__has_vul__direct,,,,2363,,,,,,,,,has_vul,compute_node_c,direct,CodeGemma,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__has_vul__direct/metrics.json
0.5044435040203131,,,,,,0.12284644194756554,,,,,,,,,,,,0.656,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__has_vul__prompt/predictions.jsonl,0.06776859504132231,remote_codegemma_7b_e1_gpu5_clean__has_vul__prompt,,,,2363,,,,,,,,,has_vul,compute_node_c,prompt,CodeGemma,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__has_vul__prompt/metrics.json
0.7723233178163351,,artifacts/checkpoints/remote_codegemma_7b_e1_gpu5_clean__has_vul__qlora/checkpoint-2177,,,,0.7747068676716918,,,,,,,,,,,,0.7852292020373515,,0.7644628099173554,remote_codegemma_7b_e1_gpu5_clean__has_vul__qlora,,,,2363,,,,17411,4667,,,,has_vul,compute_node_c,qlora,CodeGemma,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__has_vul__qlora/metrics.json
,91.438662,,0.791449,0.287485,,,,,,,,,,,,,,,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_line__direct/predictions.jsonl,,remote_codegemma_7b_e1_gpu5_clean__vul_line__direct,0.055987,0.064023,0.049743,807,0.116233,0.194961,0.082798,,,,,,vul_line,compute_node_c,direct,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_line__direct/metrics.json,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_line__direct/metrics.json
,91.43866171003718,,0.7914485767909362,0.24411400247831475,,,,,,,,,,,,,,,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_line__prompt/predictions.jsonl,,remote_codegemma_7b_e1_gpu5_clean__vul_line__prompt,0.05201372584432003,,,807,0.0992515642496979,,,,,,,,vul_line,compute_node_c,prompt,,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_line__prompt/metrics.json
,91.43866171003718,artifacts/checkpoints/remote_codegemma_7b_e1_gpu5_clean__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.8228004956629492,,,,,,,,,,,,,,,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_line__qlora/predictions_test.jsonl,,remote_codegemma_7b_e1_gpu5_clean__vul_line__qlora,0.28571428571428575,0.326724,0.253851,807,0.38722478016038736,0.486576,0.321566,10155,1529,,,,vul_line,compute_node_c,qlora,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_line__qlora/metrics.json,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_line__qlora/metrics.json
0.232429718875502,,,,,,0.1889795918367347,,,,,521,0.10010214504596528,0.18809980806142035,0.18809980806142035,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_type__direct/predictions_multi_label.jsonl,0.06819763395963814,,0.232429718875502,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_type__direct/predictions.jsonl,0.1592159559834938,remote_codegemma_7b_e1_gpu5_clean__vul_type__direct,,,,1992,,,,,,,,,vul_type,compute_node_c,direct,,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_type__direct/metrics.json
0.19377510040160642,,,,,,0.15755102040816327,,,,,521,0.09805924412665984,0.18426103646833014,0.18426103646833014,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_type__prompt/predictions_multi_label.jsonl,0.06680584551148225,,0.19377510040160642,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_type__prompt/predictions.jsonl,0.1327372764786795,remote_codegemma_7b_e1_gpu5_clean__vul_type__prompt,,,,1992,,,,,,,,,vul_type,compute_node_c,prompt,,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_type__prompt/metrics.json
0.679217,,artifacts/checkpoints/remote_codegemma_7b_e1_gpu5_clean__vul_type__qlora/checkpoint-3124,,,,0.552245,,0.417165,0.67677,0.340341,521,0.393258,0.738964,0.738964,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_type__qlora/predictions_test_multi_label.jsonl,0.267919,,0.679217,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_type__qlora/predictions_test.jsonl,0.465268,remote_codegemma_7b_e1_gpu5_clean__vul_type__qlora,,,,1992,,,,24992,3829,,,,vul_type,compute_node_c,qlora,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_type__qlora/metrics.json,google/codegemma-7b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_type__qlora/metrics.json
0.5124841303427846,,,,,,0.1111111111111111,,,,,,,,,,,,0.8372093023255814,artifacts/predictions/remote_codellama_13b_e1__has_vul__direct/predictions.jsonl,0.05950413223140496,remote_codellama_13b_e1__has_vul__direct,,,,2363,,,,,,,,,has_vul,compute_node_c,direct,CodeLlama,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__has_vul__direct/metrics.json
0.543377063055438,,,,,,0.2512144344205413,,,,,,,,,,,,0.7835497835497836,artifacts/predictions/remote_codellama_13b_e1__has_vul__prompt/predictions.jsonl,0.14958677685950414,remote_codellama_13b_e1__has_vul__prompt,,,,2363,,,,,,,,,has_vul,compute_node_c,prompt,CodeLlama,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__has_vul__prompt/metrics.json
0.770207363520948,,artifacts/checkpoints/remote_codellama_13b_e1__has_vul__qlora/checkpoint-2177,,,,0.7764512144915603,,,,,,,,,,,,0.7735849056603774,,0.7793388429752066,remote_codellama_13b_e1__has_vul__qlora,,,,2363,,,,17411,4667,,,,has_vul,compute_node_c,qlora,CodeLlama,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__has_vul__qlora/metrics.json
,91.438662,,0.791449,0.216853,,,,,,,,,,,,,,,artifacts/predictions/remote_codellama_13b_e1__vul_line__direct/predictions.jsonl,,remote_codellama_13b_e1__vul_line__direct,0.046957,0.053697,0.04172,807,0.085113,0.166873,0.057125,,,,,,vul_line,compute_node_c,direct,artifacts/metrics/remote_codellama_13b_e1__vul_line__direct/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__vul_line__direct/metrics.json
,91.438662,,0.791449,0.209418,,,,,,,,,,,,,,,artifacts/predictions/remote_codellama_13b_e1__vul_line__prompt/predictions.jsonl,,remote_codellama_13b_e1__vul_line__prompt,0.048763,0.055762,0.043325,807,0.089828,0.173069,0.060655,,,,,,vul_line,compute_node_c,prompt,artifacts/metrics/remote_codellama_13b_e1__vul_line__prompt/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__vul_line__prompt/metrics.json
,91.438662,artifacts/checkpoints/remote_codellama_13b_e1__vul_line__qlora/checkpoint-22502,0.791449,0.206939,,,,,,,,,,,,,,0.059893,artifacts/predictions/remote_codellama_13b_e1__vul_line__qlora/predictions_test.jsonl,0.046534,remote_codellama_13b_e1__vul_line__qlora,0.052375,0.059893,0.046534,807,0.08361,0.178852,0.054557,10155,1529,,,,vul_line,compute_node_c,qlora,artifacts/metrics/remote_codellama_13b_e1__vul_line__qlora/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__vul_line__qlora/metrics.json
0.216867,,,,,,0.176327,,0.080631,0.63669,0.134444,521,0.098059,0.184261,0.184261,artifacts/predictions/remote_codellama_13b_e1__vul_type__direct/predictions_multi_label.jsonl,0.066806,,0.216867,artifacts/predictions/remote_codellama_13b_e1__vul_type__direct/predictions.jsonl,0.148556,remote_codellama_13b_e1__vul_type__direct,,,,1992,,,,,,,,,vul_type,compute_node_c,direct,artifacts/metrics/remote_codellama_13b_e1__vul_type__direct/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__vul_type__direct/metrics.json
