accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,completed_time,contract_hit,dataset_view,execution_source,expansion_stage,f1,macro_f1,macro_precision,macro_recall,method,metrics_path,model,model_family,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,paired_expansion_counterpart,pre_expansion_pair_marker,precision,predictions_file,recall,run_name,runtime_minutes,source,status,strict_f1,strict_precision,strict_recall,summary_path,task,task_type,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples
,91.43866171003718,artifacts/checkpoints/machine_a_deepseekcoder13b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,46160.7347637037,0.21437422552664187,,compute_node_a,,,,,,qlora,artifacts/metrics/machine_a_deepseekcoder13b_e1__vul_line__qlora/metrics.json,deepseek-ai/deepseek-coder-1.3b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/machine_a_deepseekcoder13b_e1__vul_line__qlora/predictions_test.jsonl,,machine_a_deepseekcoder13b_e1__vul_line__qlora,425.7151019333333,matrix_summary,completed,0.05490337728011559,0.062784,0.04878,artifacts/summaries/machine_a_deepseekcoder13b_e1__vul_line__qlora/matrix_summary.json,vul_line,line,807,0.09157320712007408,0.183808,0.060976,10155,1529
,91.43866171003718,,0.7914485767909362,46158.37470030093,0.28376703841387857,,compute_node_c,,,,,,direct,artifacts/metrics/remote_deepseekcoder67b_e1__vul_line__direct/metrics.json,deepseek-ai/deepseek-coder-6.7b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/remote_deepseekcoder67b_e1__vul_line__direct/predictions.jsonl,,remote_deepseekcoder67b_e1__vul_line__direct,1120.6633456666668,matrix_summary,completed,0.04731804226115225,0.05411,0.042041,artifacts/summaries/remote_deepseekcoder67b_e1__vul_line__direct/matrix_summary.json,vul_line,line,807,0.11355684520902154,0.183808,0.082157,,
,91.43866171003718,,0.7914485767909362,46159.15843784723,0.29244114002478316,,compute_node_c,,,,,,prompt,artifacts/metrics/remote_deepseekcoder67b_e1__vul_line__prompt/metrics.json,deepseek-ai/deepseek-coder-6.7b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/remote_deepseekcoder67b_e1__vul_line__prompt/predictions.jsonl,,remote_deepseekcoder67b_e1__vul_line__prompt,1128.5819943333333,matrix_summary,completed,0.056709409427487804,0.064849,0.050385,artifacts/summaries/remote_deepseekcoder67b_e1__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.13154331918037795,0.197852,0.098524,,
,91.43866171003718,artifacts/checkpoints/remote_deepseekcoder67b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,46159.62331280093,0.24907063197026022,,compute_node_c,,,,,,qlora,artifacts/metrics/remote_deepseekcoder67b_e1__vul_line__qlora/metrics.json,deepseek-ai/deepseek-coder-6.7b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/remote_deepseekcoder67b_e1__vul_line__qlora/predictions_test.jsonl,,remote_deepseekcoder67b_e1__vul_line__qlora,669.4198622166666,matrix_summary,completed,0.05562579013906448,0.06361,0.049422,artifacts/summaries/remote_deepseekcoder67b_e1__vul_line__qlora/matrix_summary.json,vul_line,line,807,0.10205965854049182,0.186287,0.070282,10155,1529
,91.43866171003718,,0.7914485767909362,46159.71560200232,0.23915737298636927,,compute_node_c,,,,,,direct,,google/codegemma-2b,CodeGemma,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__direct/predictions.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__direct,177.19546445,matrix_summary,completed,0.047679248690626695,,,artifacts/summaries/remote_codegemma_2b_e1_gpu4_retry__vul_line__direct/matrix_summary.json,vul_line,line,807,0.10236713230263006,,,,
,91.43866171003718,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/checkpoint-22502,0.7914485767909362,46160.41246854167,0.8215613382899628,,compute_node_c,,,,,,full,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/metrics.json,google/codegemma-2b,CodeGemma,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/predictions_test.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__full,489.19434706666664,matrix_summary,completed,0.2813798085605924,0.321768,0.25,artifacts/summaries/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/matrix_summary.json,vul_line,line,807,0.3900122548027657,0.498554,0.320282,10155,1529
,91.43866171003718,,0.7914485767909362,46160.07275018519,0.26022304832713755,,compute_node_c,,,,,,prompt,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/metrics.json,google/codegemma-2b,CodeGemma,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/predictions.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt,514.2932971166667,matrix_summary,completed,0.04298356510745892,0.049153,0.03819,artifacts/summaries/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.10055143891090816,0.160677,0.073171,,
,91.43866171003718,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/checkpoint-22502,0.7914485767909362,46160.60635425926,0.8203221809169765,,compute_node_c,,,,,,qlora,,google/codegemma-2b,CodeGemma,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/predictions_test.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora,279.1953346,matrix_summary,completed,0.27415567997110346,,,artifacts/summaries/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/matrix_summary.json,vul_line,line,807,0.39253213966117545,,,10155,1529
,91.43866171003718,,0.7914485767909362,46161.7837040162,0.2874845105328377,,compute_node_c,,,,,,direct,artifacts/metrics/remote_codegemma_7b_e1_gpu5_clean__vul_line__direct/metrics.json,google/codegemma-7b,CodeGemma,,,,,,,,,,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_line__direct/predictions.jsonl,,remote_codegemma_7b_e1_gpu5_clean__vul_line__direct,295.9994559166667,matrix_summary,completed,0.055986996568538915,0.064023,0.049743,artifacts/summaries/remote_codegemma_7b_e1_gpu5_clean__vul_line__direct/matrix_summary.json,vul_line,line,807,0.11623340985124346,0.194961,0.082798,,
,91.43866171003718,,0.7914485767909362,46162.44086106482,0.24411400247831475,,compute_node_c,,,,,,prompt,,google/codegemma-7b,CodeGemma,,,,,,,,,,artifacts/predictions/remote_codegemma_7b_e1_gpu5_clean__vul_line__prompt/predictions.jsonl,,remote_codegemma_7b_e1_gpu5_clean__vul_line__prompt,946.3060675833333,matrix_summary,completed,0.05201372584432003,,,artifacts/summaries/remote_codegemma_7b_e1_gpu5_clean__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.0992515642496979,,,,
