config_bundle,config_record_id,config_sha256,machine,method,model,run_name,source_path,task
artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/config.json,remote_codellama34b_e1_gpu2_has_vul_vul_type_vul_type_qlora,3dbdd0d865bc580bd7cdbb86796fbaf0bf7280af6180460502fd87781dbda19a,compute_node_c,qlora,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora,artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/config.json,vul_type
artifacts/configs/remote_codellama_7b_e1_gpu4_retry__has_vul__direct/config.json,remote_codellama_7b_e1_gpu4_retry_has_vul_direct,c251800e779825a12e7a85cfe19a6fbe4eaa0099e066fc174788bea1f45fdf7f,compute_node_c,direct,codellama/CodeLlama-7b-hf,remote_codellama_7b_e1_gpu4_retry__has_vul__direct,artifacts/configs/remote_codellama_7b_e1_gpu4_retry__has_vul__direct/config.json,has_vul
artifacts/configs/remote_codellama_7b_e1_gpu4_retry__has_vul__prompt/config.json,remote_codellama_7b_e1_gpu4_retry_has_vul_prompt,69ec117d9d33a147a0a34bea8974ece9473a8777e5625881197228f62508d8b5,compute_node_c,prompt,codellama/CodeLlama-7b-hf,remote_codellama_7b_e1_gpu4_retry__has_vul__prompt,artifacts/configs/remote_codellama_7b_e1_gpu4_retry__has_vul__prompt/config.json,has_vul
artifacts/configs/remote_codellama_7b_e1_gpu4_retry__has_vul__qlora/config.json,remote_codellama_7b_e1_gpu4_retry_has_vul_qlora,405f0ac41231c0da3bf4e1de9bc79bcf9c2780d14b3c9fc2be2a1d3603ba3598,compute_node_c,qlora,codellama/CodeLlama-7b-hf,remote_codellama_7b_e1_gpu4_retry__has_vul__qlora,artifacts/configs/remote_codellama_7b_e1_gpu4_retry__has_vul__qlora/config.json,has_vul
artifacts/configs/remote_codellama_7b_e1_gpu4_retry__vul_line__direct/config.json,remote_codellama_7b_e1_gpu4_retry_vul_line_direct,f853001d87ed4c70b5d430eb1d3fcc98279dc2a7d40b87772fbce172c926a867,compute_node_c,direct,codellama/CodeLlama-7b-hf,remote_codellama_7b_e1_gpu4_retry__vul_line__direct,artifacts/configs/remote_codellama_7b_e1_gpu4_retry__vul_line__direct/config.json,vul_line
artifacts/configs/westd_codellama7b_e1_vul_line_qlora_from_b__vul_line/config.json,westd_codellama7b_e1_vul_line_qlora_from_b_vul_line,89eefc128692ddbf7d7091297592fb6bd3e7a51609473250d08dcf583743328a,compute_node_d,qlora,codellama/CodeLlama-7b-hf,westd_codellama7b_e1_vul_line_qlora_from_b__vul_line,artifacts/configs/westd_codellama7b_e1_vul_line_qlora_from_b__vul_line/config.json,vul_line
artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__direct/config.json,machine_a_deepseekcoder13b_e1_has_vul_direct,ff0033c16c013c0427a572c25651f1dbc1b64ad036e883f29259861ff8642388,compute_node_a,direct,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__has_vul__direct,artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__direct/config.json,has_vul
artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__full/config.json,machine_a_deepseekcoder13b_e1_has_vul_full,276b9ece42718647ced20b4e6f049f075b9f6451ad43dabc560598aa996f7e24,compute_node_a,full,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__has_vul__full,artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__full/config.json,has_vul
artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__prompt/config.json,machine_a_deepseekcoder13b_e1_has_vul_prompt,52f3d2f42329b86dd6eefb773b5d2dddbc4a0511c11978d43caa828e2b3fa439,compute_node_a,prompt,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__has_vul__prompt,artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__prompt/config.json,has_vul
artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__qlora/config.json,machine_a_deepseekcoder13b_e1_has_vul_qlora,3d3e274ce7ad7aef78414cb861b8f6bfd140c3127375e7dc240e898f74e6a85e,compute_node_a,qlora,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__has_vul__qlora,artifacts/configs/machine_a_deepseekcoder13b_e1__has_vul__qlora/config.json,has_vul
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__direct/config.json,machine_a_deepseekcoder13b_e1_vul_line_direct,f52dab25973e2a0db530a96ac0a0e32faf872a36a98671fd27928cad56863911,compute_node_a,direct,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_line__direct,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__direct/config.json,vul_line
